Namespace(I0=20, N=10000, R0=0, beta=0.5, data='italy_i.csv', day_max=58, day_min=33, delta=0.2, k_inf=1, k_rec=1, llavor=1, nseed=1, seed0=1)
         1198205 function calls (1185443 primitive calls) in 3.472 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Image.py:2472(ImageTransformHandler)
        1    0.000    0.000    0.002    0.002 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2969(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:2984(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:2995(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:3018(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3029(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3144(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3180(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:444(_E)
        1    0.000    0.000    0.000    0.000 Image.py:485(Image)
        1    0.000    0.000    0.000    0.000 Image.py:51(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:55(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:309(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:335(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:560(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:571(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:77(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:22(PaletteFile)
        1    0.000    0.000    0.001    0.001 Pango.py:21(<module>)
        1    0.000    0.000    0.000    0.000 Pango.py:29(FontDescription)
        1    0.000    0.000    0.000    0.000 Pango.py:45(Layout)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:100(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:188(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:210(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:289(PngStream)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:556(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:740(_idat)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       26    0.003    0.000    0.596    0.023 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:100(__hash__)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:104(CallbackRegistry)
   246/26    0.000    0.000    0.084    0.003 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:1180(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
      579    0.000    0.000    0.001    0.000 __init__.py:1198(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        5    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
      234    0.000    0.000    0.001    0.000 __init__.py:1268(is_math_text)
       34    0.000    0.000    0.001    0.000 __init__.py:1272(getLogger)
      508    0.001    0.000    0.003    0.000 __init__.py:1281(_to_unmasked_float_array)
        5    0.000    0.000    0.000    0.000 __init__.py:1292(_check_1d)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
       34    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
       36    0.000    0.000    0.004    0.000 __init__.py:1329(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
       70    0.001    0.000    0.008    0.000 __init__.py:1364(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
       35    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
      447    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
      2/1    0.000    0.000    0.006    0.006 __init__.py:1435(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.002    0.002 __init__.py:155(_check_versions)
       14    0.000    0.000    0.000    0.000 __init__.py:155(get_required_version)
       42    0.000    0.000    0.000    0.000 __init__.py:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
       82    0.000    0.000    0.001    0.000 __init__.py:161(override)
       96    0.000    0.000    0.000    0.000 __init__.py:1610(<lambda>)
        5    0.000    0.000    0.000    0.000 __init__.py:1617(index_of)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
       43    0.000    0.000    0.000    0.000 __init__.py:1652(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
       12    0.000    0.000    0.000    0.000 __init__.py:1674(sanitize_sequence)
      447    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
       50    0.000    0.000    0.001    0.000 __init__.py:168(connect)
      334    0.002    0.000    0.003    0.000 __init__.py:1682(normalize_kwargs)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        2    0.000    0.000    0.000    0.000 __init__.py:174(wrapper)
      334    0.001    0.000    0.001    0.000 __init__.py:1742(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
      334    0.000    0.000    0.000    0.000 __init__.py:1756(<listcomp>)
      334    0.000    0.000    0.000    0.000 __init__.py:1761(<listcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:1817(_topmost_artist)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
      732    0.000    0.000    0.000    0.000 __init__.py:1830(_str_equal)
      149    0.000    0.000    0.000    0.000 __init__.py:1841(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
        4    0.000    0.000    0.000    0.000 __init__.py:186(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
       82    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
        4    0.000    0.000    0.000    0.000 __init__.py:1874(method)
       36    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
       12    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1894(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:19(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:199(disconnect)
        3    0.000    0.000    0.007    0.002 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
       34    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
     1360    0.002    0.000    0.003    0.000 __init__.py:2045(_setattr_cm)
       14    0.000    0.000    0.001    0.000 __init__.py:2089(_warn_external)
        2    0.000    0.000    0.006    0.003 __init__.py:21(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:210(deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:2111(_OrderedSet)
