Áreas de movilidad;Tipo de dato;Periodo;Total
Madrid (SCD Almenara);Personas;18/11/2019;22.638
Madrid (SCD Almendrales);Personas;18/11/2019;21.512
Madrid (SCD Aluche-1);Personas;18/11/2019;27.105
Madrid (SCD Aluche-2);Personas;18/11/2019;18.969
Madrid (SCD Aluche-3);Personas;18/11/2019;20.276
Madrid (SCD Ambroz);Personas;18/11/2019;18.673
Madrid (SCD Amposta);Personas;18/11/2019;8.574
Madrid (SCD Apostol Santiago);Personas;18/11/2019;15.410
Madrid (SCD Arapiles);Personas;18/11/2019;24.446
Madrid (SCD Aravaca-Plantio-Valdemarin);Personas;18/11/2019;36.348
Madrid (SCD Arcos);Personas;18/11/2019;24.210
Madrid (SCD Argüelles);Personas;18/11/2019;24.101
Madrid (SCD Atocha-Delicias);Personas;18/11/2019;28.837
Madrid (SCD Bellas Vistas);Personas;18/11/2019;29.201
Madrid (SCD Berruguete);Personas;18/11/2019;25.014
Madrid (SCD Buenavista-1);Personas;18/11/2019;20.961
Madrid (SCD Buenavista-2);Personas;18/11/2019;26.075
Madrid (SCD Butarque);Personas;18/11/2019;18.857
Madrid (SCD Campamento);Personas;18/11/2019;19.277
Madrid (SCD Canillas-1);Personas;18/11/2019;13.412
Madrid (SCD Canillas-2);Personas;18/11/2019;27.157
Madrid (SCD Canillejas);Personas;18/11/2019;28.567
Madrid (SCD Cármenes);Personas;18/11/2019;17.401
Madrid (SCD Casa de Campo);Personas;18/11/2019;12.977
Madrid (SCD Casco Histórico de Vallecas-1);Personas;18/11/2019;27.124
Madrid (SCD Casco Histórico de Vallecas-2);Personas;18/11/2019;33.410
Madrid (SCD Casco Histórico de Vallecas-3);Personas;18/11/2019;25.520
Madrid (SCD Casco Histórico de Vicálvaro-1);Personas;18/11/2019;26.591
Madrid (SCD Casco Histórico de Vicálvaro-2);Personas;18/11/2019;26.827
Madrid (SCD Castellana);Personas;18/11/2019;17.114
Madrid (SCD Castilla);Personas;18/11/2019;16.880
Madrid (SCD Castillejos);Personas;18/11/2019;20.515
Madrid (SCD Chopera);Personas;18/11/2019;19.988
Madrid (SCD Ciudad Jardín);Personas;18/11/2019;18.635
Madrid (SCD Ciudad Universitaria);Personas;18/11/2019;16.264
Madrid (SCD Comillas);Personas;18/11/2019;22.412
Madrid (SCD Concepción);Personas;18/11/2019;20.856
Madrid (SCD Cortes);Personas;18/11/2019;10.481
Madrid (SCD Costillares);Personas;18/11/2019;21.997
Madrid (SCD Cuatro Caminos);Personas;18/11/2019;34.618
Madrid (SCD Cuatro Vientos-Aguilas);Personas;18/11/2019;17.922
Madrid (SCD El Goloso-El Pardo-Fuentelarreina);Personas;18/11/2019;25.193
Madrid (SCD El Viso);Personas;18/11/2019;17.281
Madrid (SCD Embajadores-1);Personas;18/11/2019;30.032
Madrid (SCD Embajadores-2);Personas;18/11/2019;15.229
Madrid (SCD Entrevías);Personas;18/11/2019;34.687
Madrid (SCD Estrella);Personas;18/11/2019;23.298
Madrid (SCD Fontarrón);Personas;18/11/2019;17.130
Madrid (SCD Fuente del Berro);Personas;18/11/2019;21.086
Madrid (SCD Gaztambide);Personas;18/11/2019;22.880
Madrid (SCD Goya);Personas;18/11/2019;29.641
Madrid (SCD Guindalera-1);Personas;18/11/2019;20.929
Madrid (SCD Guindalera-2);Personas;18/11/2019;20.671
Madrid (SCD Hellín);Personas;18/11/2019;9.158
Madrid (SCD Hispanoamérica);Personas;18/11/2019;31.749
Madrid (SCD Horcajo);Personas;18/11/2019;6.330
Madrid (SCD Ibiza);Personas;18/11/2019;21.636
Madrid (SCD Imperial);Personas;18/11/2019;22.753
Madrid (SCD Justicia);Personas;18/11/2019;17.139
Madrid (SCD La Paz);Personas;18/11/2019;33.775
Madrid (SCD Legazpi);Personas;18/11/2019;19.647
Madrid (SCD Lista);Personas;18/11/2019;20.947
Madrid (SCD Los Angeles);Personas;18/11/2019;31.195
Madrid (SCD Los Rosales);Personas;18/11/2019;37.605
Madrid (SCD Lucero);Personas;18/11/2019;36.078
Madrid (SCD Marroquina);Personas;18/11/2019;27.255
Madrid (SCD Media Legua);Personas;18/11/2019;17.866
Madrid (SCD Mirasierra);Personas;18/11/2019;32.887
Madrid (SCD Moscardó);Personas;18/11/2019;26.419
Madrid (SCD Niño Jesús-Jerónimos);Personas;18/11/2019;22.358
Madrid (SCD Nueva España);Personas;18/11/2019;24.645
Madrid (SCD Numancia-1);Personas;18/11/2019;33.636
Madrid (SCD Numancia-2);Personas;18/11/2019;13.681
Madrid (SCD Opañel);Personas;18/11/2019;33.067
Madrid (SCD Orcasitas);Personas;18/11/2019;22.833
Madrid (SCD Orcasur);Personas;18/11/2019;13.816
Madrid (SCD Pacífico);Personas;18/11/2019;33.559
Madrid (SCD Palacio);Personas;18/11/2019;22.925
Madrid (SCD Palomas);Personas;18/11/2019;6.783
Madrid (SCD Palomeras Bajas-1);Personas;18/11/2019;24.135
Madrid (SCD Palomeras Bajas-2);Personas;18/11/2019;16.036
Madrid (SCD Palomeras Sureste-1);Personas;18/11/2019;15.003
Madrid (SCD Palomeras Sureste-2);Personas;18/11/2019;27.619
Madrid (SCD Palos de Moguer);Personas;18/11/2019;25.815
Madrid (SCD Pavones);Personas;18/11/2019;9.137
Madrid (SCD Peñagrande-1);Personas;18/11/2019;16.782
Madrid (SCD Peñagrande-2);Personas;18/11/2019;27.709
Madrid (SCD Pilar-1);Personas;18/11/2019;23.410
Madrid (SCD Pilar-2);Personas;18/11/2019;23.004
Madrid (SCD Pinar del Rey-1);Personas;18/11/2019;32.447
Madrid (SCD Pinar del Rey-2);Personas;18/11/2019;20.231
Madrid (SCD Piovera);Personas;18/11/2019;14.897
Madrid (SCD Portazgo);Personas;18/11/2019;28.356
Madrid (SCD Pradolongo);Personas;18/11/2019;17.485
Madrid (SCD Prosperidad);Personas;18/11/2019;36.659
Madrid (SCD Pueblo Nuevo-1);Personas;18/11/2019;29.754
Madrid (SCD Pueblo Nuevo-2);Personas;18/11/2019;32.377
Madrid (SCD Puerta Bonita);Personas;18/11/2019;34.867
Madrid (SCD Puerta del Angel-1);Personas;18/11/2019;30.796
Madrid (SCD Puerta del Angel-2);Personas;18/11/2019;11.006
Madrid (SCD Quintana);Personas;18/11/2019;24.613
Madrid (SCD Recoletos);Personas;18/11/2019;15.716
Madrid (SCD Rejas);Personas;18/11/2019;16.703
Madrid (SCD Rios Rosas);Personas;18/11/2019;27.362
Madrid (SCD Rosas);Personas;18/11/2019;31.660
Madrid (SCD Salvador);Personas;18/11/2019;11.346
Madrid (SCD San Andrés-1);Personas;18/11/2019;11.101
Madrid (SCD San Andrés-2);Personas;18/11/2019;34.129
Madrid (SCD San Cristobal);Personas;18/11/2019;16.059
Madrid (SCD San Diego-1);Personas;18/11/2019;20.555
Madrid (SCD San Diego-2);Personas;18/11/2019;21.149
Madrid (SCD San Fermín);Personas;18/11/2019;23.694
Madrid (SCD San Isidro);Personas;18/11/2019;38.966
Madrid (SCD San Juan Bautista-Colina-Atalaya);Personas;18/11/2019;20.415
Madrid (SCD San Pascual);Personas;18/11/2019;18.145
Madrid (SCD Santa Eugenia);Personas;18/11/2019;24.311
Madrid (SCD Simancas);Personas;18/11/2019;27.924
Madrid (SCD Sol);Personas;18/11/2019;7.309
Madrid (SCD Timón-Casco Historico-Aeropuerto);Personas;18/11/2019;21.788
Madrid (SCD Trafalgar);Personas;18/11/2019;24.690
Madrid (SCD Universidad);Personas;18/11/2019;31.733
Madrid (SCD Valdeacederas);Personas;18/11/2019;26.037
Madrid (SCD Valdefuentes-1);Personas;18/11/2019;21.547
Madrid (SCD Valdefuentes-2);Personas;18/11/2019;36.303
Madrid (SCD Valdezarza);Personas;18/11/2019;29.729
Madrid (SCD Vallehermoso);Personas;18/11/2019;20.208
Madrid (SCD Valverde-1);Personas;18/11/2019;37.726
Madrid (SCD Valverde-2);Personas;18/11/2019;25.453
Madrid (SCD Ventas-1);Personas;18/11/2019;19.657
Madrid (SCD Ventas-2);Personas;18/11/2019;28.470
Madrid (SCD Vinateros);Personas;18/11/2019;16.852
Madrid (SCD Vista Alegre-1);Personas;18/11/2019;34.410
Madrid (SCD Vista Alegre-2);Personas;18/11/2019;11.593
Madrid (SCD Zofío);Personas;18/11/2019;13.982
Madridejos;Personas;18/11/2019;10.453
Madrigal de las Altas Torres y otros municipios;Personas;18/11/2019;5.203
Madrigueras y Motilleja;Personas;18/11/2019;5.223
Madroñera y otros municipios;Personas;18/11/2019;4.901
Mairena del Alcor;Personas;18/11/2019;23.550
Mairena del Aljarafe;Personas;18/11/2019;46.089
Majadahonda (distrito 01);Personas;18/11/2019;28.247
Majadahonda (distrito 02);Personas;18/11/2019;43.579
Málaga (SCD Campanillas);Personas;18/11/2019;19.806
Málaga (SCD Centro);Personas;18/11/2019;34.825
Málaga (SCD Churriana - Bahía Málaga);Personas;18/11/2019;20.142
Málaga (SCD Guadalhorce);Personas;18/11/2019;9.108
Málaga (SCD Litoral Este: El Palo - El Candado);Personas;18/11/2019;27.670
Málaga (SCD Litoral Este: Malaqueta-Limonar);Personas;18/11/2019;36.278
Málaga (SCD Litoral Oeste: Huelín);Personas;18/11/2019;25.495
Málaga (SCD Litoral Oeste: La Luz - San Andrés);Personas;18/11/2019;36.814
Málaga (SCD Litoral Oeste: La Paz - Parque Mediterráneo);Personas;18/11/2019;27.122
Málaga (SCD Litoral Oeste: Puerta Blanca - Fincal El Pato);Personas;18/11/2019;24.692
Málaga (SCD Pedrizas: Ciudad Jardín);Personas;18/11/2019;32.175
Málaga (SCD Pedrizas: Segalerva - Olletas);Personas;18/11/2019;20.937
Málaga (SCD Prolongación: La Unión - Cruz de Humilladero);Personas;18/11/2019;35.596
Málaga (SCD Prolongación: Mármoles - Carranque);Personas;18/11/2019;20.519
Málaga (SCD Prolongación: Portada Alta - San Rafael);Personas;18/11/2019;35.124
Málaga (SCD Puerto de la Torre);Personas;18/11/2019;26.169
Málaga (SCD Rosaleda: Suárez - Carlos Haya);Personas;18/11/2019;38.351
Málaga (SCD Rosaleda: Trinidad);Personas;18/11/2019;33.803
Málaga (SCD Rosaleda:Palma - Palmilla);Personas;18/11/2019;30.169
Málaga (SCD Teatinos);Personas;18/11/2019;39.859
Malagón;Personas;18/11/2019;7.998
Malgrat de Mar;Personas;18/11/2019;18.579
Mallén y otros municipios;Personas;18/11/2019;6.621
Malpartida de Cáceres;Personas;18/11/2019;4.122
Malpartida de Plasencia y otros municipios;Personas;18/11/2019;5.130
Malpica de Bergantiños;Personas;18/11/2019;5.391
Maluenda y otros municipios;Personas;18/11/2019;4.863
Manacor;Personas;18/11/2019;43.808
Mancha Real;Personas;18/11/2019;11.264
Manilva;Personas;18/11/2019;15.528
Manises;Personas;18/11/2019;30.919
Manlleu;Personas;18/11/2019;20.573
Manresa (distrito 02);Personas;18/11/2019;22.402
Manresa (distrito 04);Personas;18/11/2019;22.057
Manresa (distrito 05);Personas;18/11/2019;21.470
Manresa (distritos 01 y 03);Personas;18/11/2019;9.815
Mansilla de las Mulas y otros municipios;Personas;18/11/2019;5.749
Manuel y otros municipios;Personas;18/11/2019;5.650
Manzanares el Real;Personas;18/11/2019;8.840
Manzanares y Llanos del Caudillo;Personas;18/11/2019;18.716
Maó-Mahón;Personas;18/11/2019;29.040
Maracena;Personas;18/11/2019;22.116
Marbella (distrito 01);Personas;18/11/2019;64.150
Marbella (distrito 02);Personas;18/11/2019;36.384
Marbella (distrito 03);Personas;18/11/2019;25.083
Marbella (distrito 04);Personas;18/11/2019;17.769
Marchamalo;Personas;18/11/2019;7.474
Marchena;Personas;18/11/2019;19.457
Marcilla y Caparroso;Personas;18/11/2019;5.624
María de Huerva y otros municipios;Personas;18/11/2019;6.047
Marín;Personas;18/11/2019;24.319
Marina de Cudeyo;Personas;18/11/2019;5.125
Markina-Xemein y Etxebarria;Personas;18/11/2019;5.794
Marmolejo y Lopera;Personas;18/11/2019;10.477
Marratxí;Personas;18/11/2019;37.193
Martorell;Personas;18/11/2019;28.189
Martorelles y Santa Maria de Martorelles;Personas;18/11/2019;5.694
Martos y Jamilena;Personas;18/11/2019;27.508
Maside y otros municipios;Personas;18/11/2019;5.607
Masnou, El;Personas;18/11/2019;23.515
Masquefa;Personas;18/11/2019;9.211
Massamagrell;Personas;18/11/2019;15.952
Massanassa;Personas;18/11/2019;9.667
Matadepera;Personas;18/11/2019;9.326
Matanza de Acentejo, La;Personas;18/11/2019;9.061
Mataró (distrito 01);Personas;18/11/2019;12.588
Mataró (distrito 02);Personas;18/11/2019;20.421
Mataró (distrito 03);Personas;18/11/2019;24.391
Mataró (distrito 04);Personas;18/11/2019;15.889
Mataró (distrito 05);Personas;18/11/2019;31.193
Mataró (distrito 06);Personas;18/11/2019;23.783
Mazarrón;Personas;18/11/2019;32.209
Mazcuerras y otros municipios;Personas;18/11/2019;5.725
Meaño;Personas;18/11/2019;5.272
Meco;Personas;18/11/2019;14.305
Medina de Pomar y otros municipios;Personas;18/11/2019;6.657
Medina de Rioseco y otros municipios;Personas;18/11/2019;5.572
Medina del Campo;Personas;18/11/2019;20.510
Medina-Sidonia;Personas;18/11/2019;11.708
Medio Cudeyo;Personas;18/11/2019;7.556
Mediona y otros municipios;Personas;18/11/2019;5.986
Meis;Personas;18/11/2019;4.791
Mejorada del Campo;Personas;18/11/2019;23.274
Meliana;Personas;18/11/2019;10.822
Melide;Personas;18/11/2019;7.406
Melilla (distrito 01 y 03);Personas;18/11/2019;5.825
Melilla (distrito 02);Personas;18/11/2019;5.322
Melilla (distrito 04);Personas;18/11/2019;9.117
Melilla (distrito 05);Personas;18/11/2019;15.863
Melilla (distrito 06);Personas;18/11/2019;5.559
Melilla (distrito 07);Personas;18/11/2019;14.037
Melilla (distrito 08);Personas;18/11/2019;30.764
Membrilla;Personas;18/11/2019;6.005
Menasalbas y otros municipios;Personas;18/11/2019;5.528
Mendavia y Sesma;Personas;18/11/2019;4.711
Mengíbar y Jabalquinto;Personas;18/11/2019;11.980
Méntrida y Valmojado;Personas;18/11/2019;9.402
Mequinenza y otros municipios;Personas;18/11/2019;6.774
Mercadal, Es;Personas;18/11/2019;5.038
Mérida (distrito 01);Personas;18/11/2019;5.882
Mérida (distrito 03) y otros municipios;Personas;18/11/2019;20.995
Mérida (distrito 04) y otros municipios;Personas;18/11/2019;28.518
Mérida (distrito 06);Personas;18/11/2019;12.797
Mérida (distritos 02 y 05);Personas;18/11/2019;5.782
Meruelo y otros municipios;Personas;18/11/2019;4.644
Mesas, Las y otros municipios;Personas;18/11/2019;4.963
Mesía y Frades;Personas;18/11/2019;4.869
Miajadas;Personas;18/11/2019;9.607
Miengo;Personas;18/11/2019;4.741
Mieres;Personas;18/11/2019;37.959
Miguel Esteban y Toboso, El;Personas;18/11/2019;6.620
Miguelturra;Personas;18/11/2019;15.368
Mijas (sección 011 y otras secciones del distrito 01);Personas;18/11/2019;26.795
Mijas (sección 019 y otras secciones del distrito 01);Personas;18/11/2019;30.970
Mijas (sección 026 y otras secciones del distrito 01);Personas;18/11/2019;24.977
Milagro y Villafranca;Personas;18/11/2019;6.263
Minas de Riotinto y otros municipios;Personas;18/11/2019;9.614
Minglanilla y otros municipios;Personas;18/11/2019;4.733
Miño;Personas;18/11/2019;6.200
Miraflores de la Sierra y Bustarviejo;Personas;18/11/2019;8.611
Miranda de Ebro;Personas;18/11/2019;35.522
Mislata;Personas;18/11/2019;43.691
Moaña;Personas;18/11/2019;19.399
Mocejón y Magán;Personas;18/11/2019;8.419
Moclín y otros municipios;Personas;18/11/2019;7.215
Mogán;Personas;18/11/2019;20.072
Mogente/Moixent y otros municipios;Personas;18/11/2019;7.311
Moguer;Personas;18/11/2019;22.088
Moià;Personas;18/11/2019;6.267
Mojácar;Personas;18/11/2019;6.403
Mojados y otros municipios;Personas;18/11/2019;7.445
Mojonera, La;Personas;18/11/2019;9.021
Molar, El;Personas;18/11/2019;8.938
Molina de Aragón y otros municipios;Personas;18/11/2019;5.736
Molina de Segura (sección 007 y otras secciones del distrito 01);Personas;18/11/2019;29.508
Molina de Segura (sección 026 y otras secciones del distrito 01);Personas;18/11/2019;23.477
Molina de Segura (sección 051 y otras secciones del distrito 01);Personas;18/11/2019;18.905
Molinos, Los;Personas;18/11/2019;4.389
Molins de Rei;Personas;18/11/2019;25.868
Mollerussa;Personas;18/11/2019;14.683
Mollet del Vallès (distrito 01);Personas;18/11/2019;12.129
Mollet del Vallès (distrito 02);Personas;18/11/2019;14.856
Mollet del Vallès (distrito 03);Personas;18/11/2019;24.333
Mollina;Personas;18/11/2019;5.149
Molvízar y otros municipios;Personas;18/11/2019;6.061
Monachil;Personas;18/11/2019;7.939
Moncada;Personas;18/11/2019;21.935
Moncofa y Chilches/Xilxes;Personas;18/11/2019;9.204
Monda y Guaro;Personas;18/11/2019;4.854
Mondariz y Mondariz-Balneario;Personas;18/11/2019;5.084
Mondéjar y otros municipios;Personas;18/11/2019;5.767
Mondoñedo y otros municipios;Personas;18/11/2019;7.247
Monesterio y Calera de León;Personas;18/11/2019;5.186
Monfero y otros municipios;Personas;18/11/2019;4.390
Monforte de Lemos;Personas;18/11/2019;18.433
Monforte del Cid;Personas;18/11/2019;8.165
Monóvar/Monòver;Personas;18/11/2019;12.167
Monreal del Campo y otros municipios;Personas;18/11/2019;5.685
Montalbán y otros municipios;Personas;18/11/2019;5.599
Montamarta y otros municipios;Personas;18/11/2019;5.038
Montaverner y otros municipios;Personas;18/11/2019;6.538
Montblanc;Personas;18/11/2019;7.364
Montcada i Reixac;Personas;18/11/2019;36.239
Montefrío y Algarinejo;Personas;18/11/2019;7.953
Montehermoso;Personas;18/11/2019;5.739
Montejícar y otros municipios;Personas;18/11/2019;4.945
Montellano;Personas;18/11/2019;7.056
Montemayor y Espejo;Personas;18/11/2019;7.184
Montemolín y otros municipios;Personas;18/11/2019;5.143
Monterrei y otros municipios;Personas;18/11/2019;7.206
Monterroso y Taboada;Personas;18/11/2019;6.372
Montesinos, Los y Algorfa;Personas;18/11/2019;7.903
Montgat;Personas;18/11/2019;12.041
Montijo y Torremayor;Personas;18/11/2019;16.414
Montilla;Personas;18/11/2019;22.859
Montmell, El y otros municipios;Personas;18/11/2019;4.665
Montmeló;Personas;18/11/2019;8.755
Montornès del Vallès;Personas;18/11/2019;16.393
Montoro y Cardeña;Personas;18/11/2019;10.854
Mont-ras y otros municipios;Personas;18/11/2019;5.179
Mont-roig del Camp;Personas;18/11/2019;12.136
Montserrat y Montroi/Montroy;Personas;18/11/2019;10.745
Montuïri y Sant Joan;Personas;18/11/2019;5.020
Monzón;Personas;18/11/2019;17.236
Mora;Personas;18/11/2019;9.718
Mora de Rubielos y otros municipios;Personas;18/11/2019;4.703
Móra d'Ebre;Personas;18/11/2019;5.690
Móra la Nova y otros municipios;Personas;18/11/2019;5.357
Moral de Calatrava;Personas;18/11/2019;5.271
Moraleda de Zafayona y otros municipios;Personas;18/11/2019;7.805
Moraleja;Personas;18/11/2019;6.750
Moraleja de Enmedio;Personas;18/11/2019;5.136
Morales de Toro y otros municipios;Personas;18/11/2019;5.245
Moralzarzal;Personas;18/11/2019;13.026
Moraña y Portas;Personas;18/11/2019;7.119
Morata de Tajuña;Personas;18/11/2019;7.683
Moratalla;Personas;18/11/2019;7.839
Morcín y otros municipios;Personas;18/11/2019;6.594
Morella y otros municipios;Personas;18/11/2019;5.526
Moriles y Monturque;Personas;18/11/2019;5.675
Morón de la Frontera y Coripe;Personas;18/11/2019;28.878
Mos;Personas;18/11/2019;15.078
Móstoles (distrito 01);Personas;18/11/2019;40.032
Móstoles (distrito 02);Personas;18/11/2019;52.043
Móstoles (distrito 03);Personas;18/11/2019;43.107
Móstoles (sección 009 y otras secciones del distrito 04);Personas;18/11/2019;25.349
Móstoles (sección 035 y otras secciones del distrito 04);Personas;18/11/2019;20.829
Móstoles (sección 042 y otras secciones del distrito 04);Personas;18/11/2019;27.824
Mota del Cuervo;Personas;18/11/2019;5.990
Motilla del Palancar;Personas;18/11/2019;5.869
Motril (distrito 01);Personas;18/11/2019;7.079
Motril (distrito 02);Personas;18/11/2019;12.411
Motril (distrito 03);Personas;18/11/2019;5.669
Motril (distrito 04);Personas;18/11/2019;24.033
Motril (distrito 05) y Torrenueva Costa;Personas;18/11/2019;11.510
Moya;Personas;18/11/2019;7.696
Muel y otros municipios;Personas;18/11/2019;5.156
Muela, La;Personas;18/11/2019;5.784
Muelas del Pan y otros municipios;Personas;18/11/2019;5.300
Mugardos;Personas;18/11/2019;5.245
Muíños y otros municipios;Personas;18/11/2019;4.815
Mula y Pliego;Personas;18/11/2019;20.730
Mundaka y otros municipios;Personas;18/11/2019;5.926
Munera y otros municipios;Personas;18/11/2019;8.521
Mungia;Personas;18/11/2019;17.691
Murchante y otros municipios;Personas;18/11/2019;9.452
Murcia (SCD Number 1-A);Personas;18/11/2019;35.191
Murcia (SCD Number 1-B);Personas;18/11/2019;27.455
Murcia (SCD Number 2-A);Personas;18/11/2019;28.412
Murcia (SCD Number 2-B);Personas;18/11/2019;25.455
Murcia (SCD Number 3-A);Personas;18/11/2019;28.910
Murcia (SCD Number 3-B);Personas;18/11/2019;24.321
Murcia (SCD Number 4-A);Personas;18/11/2019;31.571
Murcia (SCD Number 4-B);Personas;18/11/2019;36.108
Murcia (SCD Number 4-C);Personas;18/11/2019;28.724
Murcia (SCD Number 5-A);Personas;18/11/2019;38.787
Murcia (SCD Number 5-B);Personas;18/11/2019;38.318
Murcia (SCD Number 6-A);Personas;18/11/2019;20.835
Murcia (SCD Number 6-B);Personas;18/11/2019;28.451
Murcia (SCD Number 7-A);Personas;18/11/2019;24.469
Murcia (SCD Number 7-B);Personas;18/11/2019;24.543
Murcia (SCD Number 8);Personas;18/11/2019;11.708
Muro;Personas;18/11/2019;7.085
Muro de Alcoy y otros municipios;Personas;18/11/2019;10.792
Muros;Personas;18/11/2019;8.556
Museros y Emperador;Personas;18/11/2019;7.145
Muskiz y Zierbena;Personas;18/11/2019;8.997
Mutriku y Mendaro;Personas;18/11/2019;7.332
Mutxamel;Personas;18/11/2019;25.352
Muxía y Dumbría;Personas;18/11/2019;7.640
Nájera;Personas;18/11/2019;8.045
Nambroca;Personas;18/11/2019;4.732
Náquera;Personas;18/11/2019;6.577
Narón;Personas;18/11/2019;39.080
Naut Aran y otros municipios;Personas;18/11/2019;5.180
Nava de la Asunción y otros municipios;Personas;18/11/2019;5.144
Nava del Rey y otros municipios;Personas;18/11/2019;5.318
Nava y otros municipios;Personas;18/11/2019;9.288
Navahermosa y otros municipios;Personas;18/11/2019;4.536
Navalagamella y otros municipios;Personas;18/11/2019;5.907
Navalcarnero;Personas;18/11/2019;29.298
Navalmanzano y otros municipios;Personas;18/11/2019;5.114
Navalmoral de la Mata;Personas;18/11/2019;17.129
Navalmorales, Los y otros municipios;Personas;18/11/2019;4.905
Navaluenga y otros municipios;Personas;18/11/2019;4.771
Navalvillar de Pela y otros municipios;Personas;18/11/2019;8.152
Navarcles;Personas;18/11/2019;5.977
Navarrés y otros municipios;Personas;18/11/2019;5.527
Navàs;Personas;18/11/2019;6.020
Navas de Oro y otros municipios;Personas;18/11/2019;6.161
Navas de San Juan y Arquillos;Personas;18/11/2019;6.251
Navas del Marqués, Las y Peguerinos;Personas;18/11/2019;5.391
Navas del Rey y Chapinería;Personas;18/11/2019;5.246
Navata y otros municipios;Personas;18/11/2019;5.773
Navia;Personas;18/11/2019;8.380
Neda y San Sadurniño;Personas;18/11/2019;7.901
Negreira;Personas;18/11/2019;6.827
Nerja;Personas;18/11/2019;21.091
Nerva y Granada de Río-Tinto, La;Personas;18/11/2019;5.474
Nevada y otros municipios;Personas;18/11/2019;5.098
Neves, As y Arbo;Personas;18/11/2019;6.421
Niebla y Villarrasa;Personas;18/11/2019;6.293
Nigrán;Personas;18/11/2019;17.675
Níjar;Personas;18/11/2019;30.663
Noáin (Valle de Elorz)/Noain (Elortzibar);Personas;18/11/2019;8.320
Noblejas y Villarrubia de Santiago;Personas;18/11/2019;6.121
Noia;Personas;18/11/2019;14.263
Noja y otros municipios;Personas;18/11/2019;6.407
Noreña;Personas;18/11/2019;5.179
Novelda;Personas;18/11/2019;25.651
Novés y Portillo de Toledo;Personas;18/11/2019;5.114
Nucia, la;Personas;18/11/2019;18.603
Nueva Carteya;Personas;18/11/2019;5.379
Nuevo Baztán;Personas;18/11/2019;6.276
Nules y Vilavella, la;Personas;18/11/2019;16.260
Numancia de la Sagra y Pantoja;Personas;18/11/2019;8.219
Ocaña y Ciruelos;Personas;18/11/2019;12.148
Òdena y otros municipios;Personas;18/11/2019;6.522
Ogíjares;Personas;18/11/2019;14.160
Oiartzun;Personas;18/11/2019;10.293
Ojén e Istán;Personas;18/11/2019;5.171
Oleiros;Personas;18/11/2019;36.075
Olèrdola y Castellet i la Gornal;Personas;18/11/2019;5.984
Olesa de Montserrat;Personas;18/11/2019;23.904
Olías del Rey;Personas;18/11/2019;7.880
Olite/Erriberri y otros municipios;Personas;18/11/2019;5.970
Oliva de la Frontera y Valencia del Mombuey;Personas;18/11/2019;5.881
Oliva de Mérida y otros municipios;Personas;18/11/2019;5.699
Oliva y otros municipios;Personas;18/11/2019;27.922
Oliva, La;Personas;18/11/2019;26.580
Olivares y Albaida del Aljarafe;Personas;18/11/2019;12.591
Olivenza y Valverde de Leganés;Personas;18/11/2019;16.122
Olleria, l';Personas;18/11/2019;8.281
Olmedo y otros municipios;Personas;18/11/2019;5.549
Olombrada y otros municipios;Personas;18/11/2019;4.701
Olot;Personas;18/11/2019;35.228
Olula del Río;Personas;18/11/2019;6.210
Ólvega y otros municipios;Personas;18/11/2019;6.815
Olvera y Torre Alháquime;Personas;18/11/2019;8.903
Onda;Personas;18/11/2019;24.859
Ondara;Personas;18/11/2019;6.894
Ondarroa;Personas;18/11/2019;8.400
Onil;Personas;18/11/2019;7.507
Ontígola;Personas;18/11/2019;4.387
Ontinyent;Personas;18/11/2019;35.347
Oña y otros municipios;Personas;18/11/2019;5.413
Oñati;Personas;18/11/2019;11.380
Orba y otros municipios;Personas;18/11/2019;5.975
Ordes;Personas;18/11/2019;12.674
Ordizia;Personas;18/11/2019;10.394
Orgaz y otros municipios;Personas;18/11/2019;5.248
Órgiva;Personas;18/11/2019;5.725
Oria y otros municipios;Personas;18/11/2019;5.728
Orihuela (distrito 01);Personas;18/11/2019;6.870
Orihuela (distrito 02);Personas;18/11/2019;11.165
Orihuela (distrito 03);Personas;18/11/2019;4.915
Orihuela (distrito 04);Personas;18/11/2019;9.299
Orihuela (distrito 05);Personas;18/11/2019;23.048
Orihuela (distrito 06);Personas;18/11/2019;8.305
Orihuela (distrito 07);Personas;18/11/2019;8.214
Orihuela (distrito 08) y Rafal;Personas;18/11/2019;10.096
Orio;Personas;18/11/2019;6.022
Orkoien y Cendea de Olza/Oltza Zendea;Personas;18/11/2019;5.888
Oropesa del Mar/Orpesa;Personas;18/11/2019;9.076
Oropesa y otros municipios;Personas;18/11/2019;12.609
Oroso;Personas;18/11/2019;7.500
Orotava, La;Personas;18/11/2019;42.029
Orozko y otros municipios;Personas;18/11/2019;5.323
Ortigueira y otros municipios;Personas;18/11/2019;10.865
Ortuella;Personas;18/11/2019;8.395
Osuna y Lantejuela;Personas;18/11/2019;21.374
Ourense (distrito 01);Personas;18/11/2019;20.938
Ourense (distrito 02);Personas;18/11/2019;16.808
Ourense (distrito 03);Personas;18/11/2019;23.688
Ourense (distrito 04);Personas;18/11/2019;16.665
Ourense (distrito 05);Personas;18/11/2019;27.134
Outeiro de Rei y otros municipios;Personas;18/11/2019;9.678
Outes;Personas;18/11/2019;6.282
Oviedo (distrito 01);Personas;18/11/2019;7.623
Oviedo (distrito 02);Personas;18/11/2019;10.240
