Áreas de movilidad;Tipo de dato;Periodo;Total
Barcelona (SCD el Baix Guinardó);Personas;18/11/2019;25.823
Barcelona (SCD el Barri Gòtic);Personas;18/11/2019;18.629
Barcelona (SCD el Besòs i el Maresme);Personas;18/11/2019;24.673
Barcelona (SCD el Bon Pastor);Personas;18/11/2019;13.084
Barcelona (SCD el Camp de l'Arp del Clot);Personas;18/11/2019;38.663
Barcelona (SCD el Camp d'en Grassot i Gràcia Nova);Personas;18/11/2019;34.911
Barcelona (SCD el Carmel);Personas;18/11/2019;32.044
Barcelona (SCD el Clot);Personas;18/11/2019;27.041
Barcelona (SCD el Coll);Personas;18/11/2019;7.459
Barcelona (SCD el Congrés i els Indians);Personas;18/11/2019;14.483
Barcelona (SCD el Fort Pienc);Personas;18/11/2019;32.349
Barcelona (SCD el Guinardó);Personas;18/11/2019;37.047
Barcelona (SCD el Parc i la Llacuna del Poblenou);Personas;18/11/2019;15.461
Barcelona (SCD el Poble Sec est);Personas;18/11/2019;22.276
Barcelona (SCD el Poble Sec oest);Personas;18/11/2019;17.719
Barcelona (SCD el Poblenou);Personas;18/11/2019;33.861
Barcelona (SCD el Putxet i el Farró);Personas;18/11/2019;29.563
Barcelona (SCD el Raval nord);Personas;18/11/2019;24.330
Barcelona (SCD el Raval sud);Personas;18/11/2019;23.023
Barcelona (SCD el Turó de la Peira-Can Peguera);Personas;18/11/2019;17.998
Barcelona (SCD els barris de la Vall d'Hebron);Personas;18/11/2019;30.562
Barcelona (SCD Horta);Personas;18/11/2019;27.340
Barcelona (SCD Hostafrancs);Personas;18/11/2019;16.014
Barcelona (SCD la Barceloneta);Personas;18/11/2019;14.857
Barcelona (SCD la Bordeta);Personas;18/11/2019;19.346
Barcelona (SCD la Dreta de l'Eixample nord);Personas;18/11/2019;22.832
Barcelona (SCD la Dreta de l'Eixample sud);Personas;18/11/2019;20.683
Barcelona (SCD la Font de la Guatlla);Personas;18/11/2019;10.265
Barcelona (SCD la Font d'en Fargues);Personas;18/11/2019;9.481
Barcelona (SCD la Guineueta);Personas;18/11/2019;15.361
Barcelona (SCD la Marina i la Zona Franca-Port);Personas;18/11/2019;32.154
Barcelona (SCD la Maternitat i Sant Ramon);Personas;18/11/2019;23.836
Barcelona (SCD la Nova Esquerra de l'Eixample nord);Personas;18/11/2019;28.126
Barcelona (SCD la Nova Esquerra de l'Eixample sud);Personas;18/11/2019;29.906
Barcelona (SCD la Prosperitat);Personas;18/11/2019;26.785
Barcelona (SCD la Sagrada Família est);Personas;18/11/2019;28.287
Barcelona (SCD la Sagrada Família oest);Personas;18/11/2019;23.098
Barcelona (SCD la Sagrera);Personas;18/11/2019;29.353
Barcelona (SCD la Salut);Personas;18/11/2019;13.347
Barcelona (SCD la Trinitat Nova);Personas;18/11/2019;7.591
Barcelona (SCD la Trinitat Vella-Baró de Viver);Personas;18/11/2019;12.882
Barcelona (SCD la Verneda i la Pau);Personas;18/11/2019;28.791
Barcelona (SCD la Vila de Gràcia est);Personas;18/11/2019;26.760
Barcelona (SCD la Vila de Gràcia oest);Personas;18/11/2019;23.342
Barcelona (SCD la Vila Olímpica del Poblenou);Personas;18/11/2019;9.261
Barcelona (SCD l'Antiga Esquerra de l'Eixample nord);Personas;18/11/2019;19.312
Barcelona (SCD l'Antiga Esquerra de l'Eixample sud);Personas;18/11/2019;23.081
Barcelona (SCD les Corts est);Personas;18/11/2019;27.214
Barcelona (SCD les Corts oest);Personas;18/11/2019;19.060
Barcelona (SCD les Roquetes);Personas;18/11/2019;16.156
Barcelona (SCD les Tres Torres);Personas;18/11/2019;16.591
Barcelona (SCD Navas);Personas;18/11/2019;22.176
Barcelona (SCD Pedralbes);Personas;18/11/2019;11.864
Barcelona (SCD Porta);Personas;18/11/2019;26.446
Barcelona (SCD Provençals del Poblenou);Personas;18/11/2019;21.002
Barcelona (SCD Sant Andreu est);Personas;18/11/2019;22.711
Barcelona (SCD Sant Andreu oest);Personas;18/11/2019;35.132
Barcelona (SCD Sant Antoni);Personas;18/11/2019;38.236
Barcelona (SCD Sant Gervasi- Galvany est);Personas;18/11/2019;22.068
Barcelona (SCD Sant Gervasi- Galvany oest);Personas;18/11/2019;25.520
Barcelona (SCD Sant Gervasi- la Bonanova);Personas;18/11/2019;25.919
Barcelona (SCD Sant Martí de Provençals);Personas;18/11/2019;26.061
Barcelona (SCD Sant Pere, Santa Caterina i la Ribera);Personas;18/11/2019;22.590
Barcelona (SCD Sants est);Personas;18/11/2019;14.938
Barcelona (SCD Sants oest);Personas;18/11/2019;27.067
Barcelona (SCD Sants-Badal);Personas;18/11/2019;24.312
Barcelona (SCD Sarrià-Vallvidrera);Personas;18/11/2019;29.599
Barcelona (SCD Torre Baró, Ciutat Meridiana i Vallbona);Personas;18/11/2019;15.117
Barcelona (SCD Vallcarca i els Penitents);Personas;18/11/2019;15.979
Barcelona (SCD Verdun);Personas;18/11/2019;12.531
Barcelona (SCD Vilapicina i la Torre Llobeta);Personas;18/11/2019;25.805
Bárcena de Cicero y Escalante;Personas;18/11/2019;5.025
Barco de Ávila, El y otros municipios;Personas;18/11/2019;4.862
Barco de Valdeorras, O;Personas;18/11/2019;13.395
Bargas;Personas;18/11/2019;10.332
Barreiros y otros municipios;Personas;18/11/2019;6.192
Barrios, Los;Personas;18/11/2019;23.642
Barro y Pontevedra (distrito 06);Personas;18/11/2019;6.418
Basauri;Personas;18/11/2019;40.589
Bàscara y otros municipios;Personas;18/11/2019;4.818
Baza;Personas;18/11/2019;20.412
Baztan y otros municipios;Personas;18/11/2019;8.345
Beas;Personas;18/11/2019;4.257
Beas de Segura y Segura de la Sierra;Personas;18/11/2019;6.920
Beasain;Personas;18/11/2019;13.880
Becerreá y otros municipios;Personas;18/11/2019;7.260
Becerril de la Sierra;Personas;18/11/2019;5.714
Bedmar y Garcíez y otros municipios;Personas;18/11/2019;5.233
Begíjar y otros municipios;Personas;18/11/2019;6.703
Begues;Personas;18/11/2019;7.098
Begur y otros municipios;Personas;18/11/2019;6.605
Béjar y Candelario;Personas;18/11/2019;13.618
Belalcázar y otros municipios;Personas;18/11/2019;6.546
Bell-lloc d'Urgell y otros municipios;Personas;18/11/2019;6.425
Bellpuig;Personas;18/11/2019;5.133
Bellreguard y otros municipios;Personas;18/11/2019;8.317
Bellver de Cerdanya y otros municipios;Personas;18/11/2019;4.838
Belmez y otros municipios;Personas;18/11/2019;5.866
Belorado y otros municipios;Personas;18/11/2019;5.476
Belvís de la Jara y otros municipios;Personas;18/11/2019;5.155
Bembibre;Personas;18/11/2019;8.705
Benabarre y otros municipios;Personas;18/11/2019;4.653
Benacazón;Personas;18/11/2019;7.241
Benaguasil;Personas;18/11/2019;10.988
Benahadux y Pechina;Personas;18/11/2019;8.419
Benahavís;Personas;18/11/2019;8.085
Benalmádena (distrito 01);Personas;18/11/2019;10.544
Benalmádena (distrito 02);Personas;18/11/2019;32.458
Benalmádena (distrito 03);Personas;18/11/2019;25.126
Benalúa y Purullena;Personas;18/11/2019;5.611
Benalup-Casas Viejas;Personas;18/11/2019;6.929
Benamaurel y otros municipios;Personas;18/11/2019;6.232
Benamejí y otros municipios;Personas;18/11/2019;8.698
Benaoján y otros municipios;Personas;18/11/2019;5.508
Benasque y otros municipios;Personas;18/11/2019;6.014
Benavente;Personas;18/11/2019;17.935
Benavides y otros municipios;Personas;18/11/2019;5.057
Benejúzar;Personas;18/11/2019;5.402
Benetússer;Personas;18/11/2019;14.799
